,date,open,high,low,close,volume,market cap
334,"Feb 18, 2022",40552.13,40929.15,39637.62,40030.98,23310007704.0,759074084514.0
335,"Feb 17, 2022",43937.07,44132.97,40249.37,40538.01,26246662813.0,768654436207.0
336,"Feb 16, 2022",44578.28,44578.28,43456.69,43961.86,19792547657.0,833531932920.0
337,"Feb 15, 2022",42586.46,44667.22,42491.03,44575.2,22721659051.0,845117683687.0
338,"Feb 14, 2022",42157.4,42775.78,41681.96,42586.92,20827783012.0,807375855006.0
339,"Feb 13, 2022",42236.57,42693.05,41950.94,42197.52,14741589015.0,799950408997.0
340,"Feb 12, 2022",42412.3,42992.55,41852.57,42244.47,18152390304.0,800797790301.0
341,"Feb 11, 2022",43571.13,43810.83,42114.54,42407.94,26954925781.0,803848273503.0
342,"Feb 10, 2022",44347.8,45661.17,43402.81,43565.11,32142048537.0,825745116530.0
343,"Feb 09, 2022",44096.7,44727.8,43232.97,44338.8,23245887300.0,840369284541.0
344,"Feb 08, 2022",43854.65,45293.87,42807.84,44118.45,33079398868.0,836154543908.0
345,"Feb 07, 2022",42406.78,44401.86,41748.16,43840.29,28641855926.0,830838884165.0
346,"Feb 06, 2022",41441.12,42500.79,41244.91,42412.43,16142097334.0,803744511638.0
347,"Feb 05, 2022",41501.48,41847.16,41038.1,41441.16,19652846215.0,785297889648.0
348,"Feb 04, 2022",37149.26,41527.79,37093.63,41500.88,29412210792.0,786396684548.0
349,"Feb 03, 2022",36944.81,37154.6,36375.54,37154.6,18591534769.0,704010232687.0
350,"Feb 02, 2022",38743.71,38834.62,36832.73,36952.98,19155189416.0,700155817836.0
351,"Feb 01, 2022",38481.77,39115.13,38113.66,38743.27,20288500328.0,734039224255.0
352,"Jan 31, 2022",37920.28,38647.26,36733.57,38483.13,20734730465.0,729073641688.0
353,"Jan 30, 2022",38151.92,38266.34,37437.71,37917.6,14643548444.0,718325967803.0
354,"Jan 29, 2022",37780.71,38576.26,37406.47,38138.18,17194183075.0,722469136410.0
355,"Jan 28, 2022",37128.44,37952.88,36211.11,37784.33,22238830523.0,715731622071.0
356,"Jan 27, 2022",36841.88,37148.32,35629.28,37138.23,25041426629.0,703456873493.0
357,"Jan 26, 2022",36950.51,38825.41,36374.91,36852.12,31324598034.0,698006361956.0
358,"Jan 25, 2022",36654.81,37444.57,35779.43,36954.0,26428189594.0,699907393886.0
359,"Jan 24, 2022",36275.73,37247.52,33184.06,36654.33,41856658597.0,694196560317.0
360,"Jan 23, 2022",35047.36,36433.31,34784.97,36276.8,26017975951.0,687012848062.0
361,"Jan 22, 2022",36471.59,36688.81,34349.25,35030.25,39714385405.0,663374008017.0
362,"Jan 21, 2022",40699.61,41060.53,35791.43,36457.32,43011992031.0,690368973093.0
363,"Jan 20, 2022",41744.03,43413.02,40672.82,40680.42,20382033940.0,770304579439.0
364,"Jan 19, 2022",42374.04,42478.3,41242.91,41744.33,23091543258.0,790406427118.0
365,"Jan 18, 2022",42250.07,42534.4,41392.22,42375.63,22417209227.0,802313747480.0
366,"Jan 17, 2022",43118.12,43179.39,41680.32,42250.55,21690904261.0,799910089279.0
367,"Jan 16, 2022",43172.04,43436.81,42691.02,43113.88,17902097845.0,816211499221.0
368,"Jan 15, 2022",43101.9,43724.67,42669.04,43177.4,18371348298.0,817364571824.0
369,"Jan 14, 2022",42598.87,43346.69,41982.62,43099.7,23577403399.0,815850639036.0
370,"Jan 13, 2022",43946.74,44278.42,42447.04,42591.57,47691135082.0,806189762638.0
371,"Jan 12, 2022",42742.18,44135.37,42528.99,43949.1,33499938689.0,831836978396.0
372,"Jan 11, 2022",41819.51,43001.16,41407.75,42735.85,26327648900.0,808834801011.0
373,"Jan 10, 2022",41910.23,42199.49,39796.57,41821.26,32104232331.0,791484886194.0
374,"Jan 09, 2022",41734.73,42663.95,41338.16,41911.6,21294384372.0,793156354744.0
375,"Jan 08, 2022",41561.47,42228.94,40672.28,41733.94,28066355845.0,789758782727.0
376,"Jan 07, 2022",43153.57,43153.57,41077.45,41557.9,84196607520.0,786389774194.0
377,"Jan 06, 2022",43565.51,43748.72,42645.54,43160.93,30208048289.0,816685390313.0
378,"Jan 05, 2022",45899.36,46929.05,42798.22,43569.0,36851084859.0,824368284530.0
379,"Jan 04, 2022",46458.85,47406.55,45752.46,45897.58,42494677905.0,868383282082.0
380,"Jan 03, 2022",47343.54,47510.73,45835.96,46458.12,33071628362.0,878946596803.0
381,"Jan 02, 2022",47680.93,47881.41,46856.94,47345.22,27951569547.0,895688387523.0
382,"Jan 01, 2022",46311.74,47827.31,46288.49,47686.81,24582667004.0,902104193385.0
383,"Dec 31, 2021",47169.37,48472.53,45819.95,46306.45,36974172400.0,875939356679.0
384,"Dec 30, 2021",46490.61,47879.97,46060.31,47178.13,26686491018.0,892386327929.0
385,"Dec 29, 2021",47623.87,48119.74,46201.49,46444.71,30049226299.0,878478755242.0
386,"Dec 28, 2021",50679.86,50679.86,47414.21,47588.85,33430376883.0,900076230597.0
387,"Dec 27, 2021",50802.61,51956.33,50499.47,50640.42,24324345758.0,957746390396.0
388,"Dec 26, 2021",50428.69,51196.38,49623.1,50809.52,20964372926.0,960899995735.0
389,"Dec 25, 2021",50854.92,51176.6,50236.71,50429.86,19030650914.0,953678082633.0
390,"Dec 24, 2021",50806.05,51814.03,50514.49,50822.2,24367912228.0,961051547919.0
391,"Dec 23, 2021",48626.34,51332.34,48065.84,50784.54,28223878108.0,960290825000.0
392,"Dec 22, 2021",48937.1,49544.8,48450.94,48628.51,24447979559.0,919476035254.0
393,"Dec 21, 2021",46886.08,49300.92,46698.77,48936.61,27055803928.0,925255868119.0
394,"Dec 20, 2021",46707.06,47401.72,45579.81,46880.28,30961902129.0,886331446165.0
395,"Dec 19, 2021",46853.87,48089.66,46502.95,46707.01,25154053861.0,883011296030.0
396,"Dec 18, 2021",46219.26,47313.83,45598.44,46848.78,26098292690.0,885650029984.0
397,"Dec 17, 2021",47653.73,48004.89,45618.22,46202.14,32902725329.0,873389147689.0
398,"Dec 16, 2021",48900.46,49425.57,47529.88,47665.43,27268150947.0,901005821508.0
399,"Dec 15, 2021",48379.75,49473.96,46671.97,48896.72,36541828520.0,924244252417.0
400,"Dec 14, 2021",46709.82,48431.4,46424.5,46612.63,34638619079.0,881018067731.0
401,"Dec 13, 2021",50114.74,50205.0,45894.85,46737.48,32166727776.0,883345705454.0
